# Layer materials: ['ultem']
# Layer thicknesses [mm]: [ 0.28171808]
# Layer dielectrics: [ 3.15]
# Layer loss tangents: [ 0.0013]
# 95 average: 0.904060175598
# 150 average: 0.999638935982
# 220 average: 0.862451502094
# Full average: 0.932644343667
# Frequency						Transmission
0.000000000000000000e+00		7.358943382285911827e-01
1.000200040008001612e-01		7.358945514276136191e-01
2.000400080016003224e-01		7.358951910244863059e-01
3.000600120024005113e-01		7.358962570186267094e-01
4.000800160032006447e-01		7.358977494090622740e-01
5.001000200040007782e-01		7.358996681944325324e-01
6.001200240048010226e-01		7.359020133729885504e-01
7.001400280056011560e-01		7.359047849425910393e-01
8.001600320064012895e-01		7.359079829007133533e-01
9.001800360072014229e-01		7.359116072444389367e-01
1.000200040008001556e+00		7.359156579704622114e-01
1.100220044008801690e+00		7.359201350750886883e-01
1.200240048009602045e+00		7.359250385542345230e-01
1.300260052010402179e+00		7.359303684034259607e-01
1.400280056011202312e+00		7.359361246178003357e-01
1.500300060012002445e+00		7.359423071921050719e-01
1.600320064012802579e+00		7.359489161206973495e-01
1.700340068013602712e+00		7.359559513975449940e-01
1.800360072014402846e+00		7.359634130162251431e-01
1.900380076015202979e+00		7.359713009699242470e-01
2.000400080016003113e+00		7.359796152514392897e-01
2.100420084016803468e+00		7.359883558531752357e-01
2.200440088017603379e+00		7.359975227671469167e-01
2.300460092018403735e+00		7.360071159849769229e-01
2.400480096019204090e+00		7.360171354978978231e-01
2.500500100020004446e+00		7.360275812967487230e-01
2.600520104020804357e+00		7.360384533719781519e-01
2.700540108021604713e+00		7.360497517136410650e-01
2.800560112022404624e+00		7.360614763114010639e-01
2.900580116023204980e+00		7.360736271545277321e-01
3.000600120024004891e+00		7.360862042318984111e-01
3.100620124024805246e+00		7.360992075319958694e-01
3.200640128025605158e+00		7.361126370429103005e-01
3.300660132026405513e+00		7.361264927523358814e-01
3.400680136027205425e+00		7.361407746475743252e-01
3.500700140028005780e+00		7.361554827155301073e-01
3.600720144028805692e+00		7.361706169427144619e-01
3.700740148029606047e+00		7.361861773152417188e-01
3.800760152030405958e+00		7.362021638188297468e-01
3.900780156031206314e+00		7.362185764388011755e-01
4.000800160032006225e+00		7.362354151600802865e-01
4.100820164032806581e+00		7.362526799671951228e-01
4.200840168033606936e+00		7.362703708442744910e-01
4.300860172034406403e+00		7.362884877750500712e-01
4.400880176035206759e+00		7.363070307428537520e-01
4.500900180036007114e+00		7.363259997306191851e-01
4.600920184036807470e+00		7.363453947208791206e-01
4.700940188037606937e+00		7.363652156957667394e-01
4.800960192038408181e+00		7.363854626370143208e-01
4.900980196039208536e+00		7.364061355259521324e-01
5.001000200040008892e+00		7.364272343435089851e-01
5.101020204040808359e+00		7.364487590702117892e-01
5.201040208041608714e+00		7.364707096861835556e-01
5.301060212042409070e+00		7.364930861711437293e-01
5.401080216043209425e+00		7.365158885044080783e-01
5.501100220044008893e+00		7.365391166648874721e-01
5.601120224044809248e+00		7.365627706310869938e-01
5.701140228045609604e+00		7.365868503811060508e-01
5.801160232046409959e+00		7.366113558926370430e-01
5.901180236047209426e+00		7.366362871429653625e-01
6.001200240048009782e+00		7.366616441089682832e-01
6.101220244048810137e+00		7.366874267671146281e-01
6.201240248049610493e+00		7.367136350934637701e-01
6.301260252050409960e+00		7.367402690636646323e-01
6.401280256051210316e+00		7.367673286529559107e-01
6.501300260052010671e+00		7.367948138361654076e-01
6.601320264052811027e+00		7.368227245877074782e-01
6.701340268053610494e+00		7.368510608815843632e-01
6.801360272054410849e+00		7.368798226913848559e-01
6.901380276055211205e+00		7.369090099902824154e-01
7.001400280056011560e+00		7.369386227510366094e-01
7.101420284056811028e+00		7.369686609459894511e-01
7.201440288057611383e+00		7.369991245470681740e-01
7.301460292058411738e+00		7.370300135257803475e-01
7.401480296059212094e+00		7.370613278532167634e-01
7.501500300060011561e+00		7.370930675000483268e-01
7.601520304060811917e+00		7.371252324365258346e-01
7.701540308061612272e+00		7.371578226324793093e-01
7.801560312062412628e+00		7.371908380573168884e-01
7.901580316063212095e+00		7.372242786800241587e-01
8.001600320064012450e+00		7.372581444691633790e-01
8.101620324064812806e+00		7.372924353928718144e-01
8.201640328065613161e+00		7.373271514188621811e-01
8.301660332066413517e+00		7.373622925144200924e-01
8.401680336067213872e+00		7.373978586464042806e-01
8.501700340068014228e+00		7.374338497812455984e-01
8.601720344068812807e+00		7.374702658849453529e-01
8.701740348069614939e+00		7.375071069230754173e-01
8.801760352070413518e+00		7.375443728607757876e-01
8.901780356071213873e+00		7.375820636627545834e-01
9.001800360072014229e+00		7.376201792932879364e-01
9.101820364072814584e+00		7.376587197162165488e-01
9.201840368073614940e+00		7.376976848949470256e-01
9.301860372074415295e+00		7.377370747924487659e-01
9.401880376075213874e+00		7.377768893712552956e-01
9.501900380076016006e+00		7.378171285934606027e-01
9.601920384076816362e+00		7.378577924207210259e-01
9.701940388077614941e+00		7.378988808142508127e-01
9.801960392078417073e+00		7.379403937348238962e-01
9.901980396079215652e+00		7.379823311427711197e-01
1.000200040008001778e+01		7.380246929979794590e-01
1.010202040408081636e+01		7.380674792598913569e-01
1.020204040808161672e+01		7.381106898875038347e-01
1.030206041208241707e+01		7.381543248393658274e-01
1.040208041608321743e+01		7.381983840735784064e-01
1.050210042008401601e+01		7.382428675477930025e-01
1.060212042408481814e+01		7.382877752192111842e-01
1.070214042808561672e+01		7.383331070445814381e-01
1.080216043208641885e+01		7.383788629802000569e-01
1.090218043608721743e+01		7.384250429819088080e-01
